grant_call,awarded_project,recipient,organisation
2nd Thematic Call for Proposals on Satellite Technologies,Radiation Hardened Power Management for Nanosatellites: Intelligent Monolithic Point-of-Load DC/DC -cum- Single Event Latchup Protection (iMPDCSELP),Prof. CHANG Joseph,Nanyang Technological University
2nd Thematic Call for Proposals on Satellite Technologies,"Regional Air Quality Monitoring and Forecasting using Remote Sensing Satellites, Ground-level Measurements and Numerical Modeling",Dr. SALINAS CORTIJO Santo Valentin,National University of Singapore
2nd Thematic Call for Proposals on Satellite Technologies,"Operational derivation of water quality, water depth and sea bottom type from remote sensing satellite data",Dr. LIEW Soo Chin,National University of Singapore
2nd Thematic Call for Proposals on Satellite Technologies,2.X. Radiation-Resilient Microcontroller for Small-Satellite Applications,Dr. LIU Xin,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,2.5.Wafer-level optically-fed steerable antenna for low-mass satellite communication systems (Resubmission),Dr. ZHOU Haifeng,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,1.X. Innovative Phased Array Synthetic Aperture Radar System on Chip for Satellite Applications [This is an improved proposal (ref. NRF2013SAS-SRP001-022) recommended for resubmission by PEP],Prof. ZHENG Yuanjin,Nanyang Technological University
2nd Thematic Call for Proposals on Satellite Technologies,2.4. Linearized Gbps X-Band Transmitter for Small Satellites,Dr. SHI Bo,Science and Engineering Research Council (A*STAR)
2nd Thematic Call for Proposals on Satellite Technologies,GER: Gradually Expanded Rotamak-Like Plasma Thruster,Prof. XU Shuyan,National Institute of Education
2nd Thematic Call for Proposals on Satellite Technologies,GaN based DC/DC Converters for Solar Powered Nano-satellites,Dr. SINGH Ravinder Pal,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,RAMP Rate Power Injection Demonstrator (RAPID),Dr. ULLAH Inam,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,Novel Hierarchical Transactive Energy Management System Incorporating Predictive Assessment Techniques for Enhanced Community Market Participation,Prof. GOOI Hoay Beng,Nanyang Technological University
Directed Call for Proposals on Smart Grid,SELF-REGULATING INTEGRATED ELECTRICITY-COOLING NETWORKS (IE-CN),Dr. LEE Shiang Long,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Smart Grid,PoPSeCo: Power Plant Security by Advanced Sensing and Computing,Prof. YAU David,Singapore University of Technology and Design
Directed Call for Proposals on Smart Grid,Securing Last-Mile Communication Systems for Smart Grids (Full Proposal),Dr. WU Yongdong,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Gas/LNG Technologies,Advanced Multi-Sensor Anomaly Monitoring and Analytics for Gas Pipeline,Prof. UKIL Abhisek,Nanyang Technological University
Directed Call for Proposals on Gas/LNG Technologies,Using Cold Energy from Re-gasification of Liquefied Natural Gas (LNG) for Novel Hybrid Seawater Desalination Technologies,Prof. CHUNG Tai-shung (neal),National University of Singapore
Directed Call for Proposals on Gas/LNG Technologies,LNG Cold Energy Utilization to Desalinate Seawater Employing the Hydrate Based Desalination (HBD) Process,Prof. LINGA Praveen,National University of Singapore
Directed Call for Proposals on Gas/LNG Technologies,Energy minimization at the SLNG regasification terminal: Boil-off gas management and process integration,Prof. KARIMI Iftekhar,National University of Singapore
Directed Call for Proposals on Gas/LNG Technologies,Condition Monitoring of Gas Pipelines in Critical Locations using Ultrasonic Guided Wave Technology,Prof. FAN Zheng,Nanyang Technological University
Directed Call for Proposals on Gas/LNG Technologies,Integrated Fibre Optic Sensor Based Monitoring System for LNG Terminals,Prof. CAI Wenjian,Nanyang Technological University
Directed Call for Proposals on Gas/LNG Technologies,"Millimeter-wave Phased Arrays System for the Inspection of Cracks, Corrosion and Damages for On-Shore Receiving Facilities (ORF) & Pipelines",Dr. KARIM Muhammad Faeyz,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Gas/LNG Technologies,Integrated Leakage Detection and Localization Model for Natural Gas Pipelines,Dr. LUO Rongmo,Science and Engineering Research Council (A*STAR)
Directed Call for Research Proposals in Increasing Energy Recovery of Advanced Thermal Treatment Technologies for Municipal Solid Waste (MSW) Management,Energy Efficient MSW Incinerator via Integrated Catalytic Membrane Gasification,Prof. KAWI Sibudjing,National University of Singapore
Directed Call for Research Proposals in Increasing Energy Recovery of Advanced Thermal Treatment Technologies for Municipal Solid Waste (MSW) Management,Application of Phase Change Materials (PCM) for improved energy efficiency in Waste to Energy (WtE) plants,Dr. ROMAGNOLI Alessandro,Nanyang Technological University
Directed Call for Research Proposals in Increasing Energy Recovery of Advanced Thermal Treatment Technologies for Municipal Solid Waste (MSW) Management,Gasification-based syngas upgrading and purification system for enhanced power generation,Dr. CHANG Wei-chung,Nanyang Technological University
National Cybersecurity R&D Laboratory (NCL),na,na,na
14/2014 - Competitive Research Programme (CRP) 14th Call (Open/General),Development of solvent resistant nanofiltration membranes for sustainable pharmaceutical and petrochemical manufacture,Prof. CHUNG Tai-shung (neal),National University of Singapore
14/2014 - Competitive Research Programme (CRP) 14th Call (Open/General),"""QSYNC"": Theory and experiments of quantum synchronisation in trapped ions and nano-mechanical resonators",Prof. VEDRAL Vlatko,National University of Singapore
14/2014 - Competitive Research Programme (CRP) 14th Call (Open/General),Perovskite Optoelectronics: Multidimensional Perovskites for High Performance Solution-Processed Light-Emitting Devices,Prof. MHAISALKAR Subodh,Nanyang Technological University
14/2014 - Competitive Research Programme (CRP) 14th Call (Open/General),Engineering of a Scalable Photonics Platform for Quantum Enabled Technologies,Dr. KRIVITSKIY Leonid,Science and Engineering Research Council (A*STAR)
13/2014 - Competitve Research Programme (CRP) 13th Call (Open/General),na,na,na
"[EIRP07]Directed call for Proposals on Innovations to achieve cost reductions in crystalline-silicon solar wafers, cells and modules and Proposals on Innovations in managing intermittency of solar energy",Passivated contacts for high-efficiency silicon wafer based solar cells,Dr. STANGL Rolf,National University of Singapore
"[EIRP07]Directed call for Proposals on Innovations to achieve cost reductions in crystalline-silicon solar wafers, cells and modules and Proposals on Innovations in managing intermittency of solar energy",Cost-effective silicon wafer solar cells using inkjet-printed front metallisation,Dr. MUELLER Thomas,National University of Singapore
"[EIRP07]Directed call for Proposals on Innovations to achieve cost reductions in crystalline-silicon solar wafers, cells and modules and Proposals on Innovations in managing intermittency of solar energy",Weather Intelligence for Renewable Energy (WIRE),Dr. WALSH Wilfred,National University of Singapore
"[EIRP07]Directed call for Proposals on Innovations to achieve cost reductions in crystalline-silicon solar wafers, cells and modules and Proposals on Innovations in managing intermittency of solar energy",Development of Advanced Components to Reduce Solar Module Cost,Dr. SRIDHARA Shankar Gauri,Private Companies (Others)
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 010),Real-time Monitoring and Characterization of Particle Count and Indoor Environmental Quality with Integrated Low-cost Sensors,Dr. LIU Hui,Science and Engineering Research Council (A*STAR)
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 010),Membranes to remove air pollutants and excess humidity for better indoor air quality and energy saving,Prof. CHUNG Tai-shung (neal),National University of Singapore
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 010),An air-conditioning Method without Compressor for all Weather Cooling: Hybrid dehumidifier cycle and Maisotsenko (M) cycle for Cooling,Prof. NG Kim Choon,National University of Singapore
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 010),Functionalized Aerogel for Treatment of Indoor Moisture and Air Contaminants (FATIMAC),Dr. HO Ghim Wei,National University of Singapore
Inaugural Cybersecurity Research and Development Grant Call,Secure Mobile Centre - Technologies and Solutions for Securing Mobile Computing,Prof. DENG Robert,Singapore Management University
Inaugural Cybersecurity Research and Development Grant Call,TSUNAMi:  Trustworthy Systems from UN-trusted component Amalgamations,Prof. ROYCHOUDHURY Abhik,National University of Singapore
Inaugural Cybersecurity Research and Development Grant Call,Securing data in the cloud using information dispersal algorithm to disperse data in large number of dynamically configured storage nodes,Mr. MAR Kheng Kok,Nanyang Polytechnic
Inaugural Cybersecurity Research and Development Grant Call,Securify: A Compositional Approach of Building Security Verified System,Prof. SRIKANTHAN Thambipillai,Nanyang Technological University
Inaugural Cybersecurity Research and Development Grant Call,A Cyber-Physical Approach to Securing Urban Transportation Systems,Dr. ZHOU Jianying,Science and Engineering Research Council (A*STAR)
Inaugural Cybersecurity Research and Development Grant Call,Cyber Forensics and Intelligence,Dr. THING Vrizlynn,Science and Engineering Research Council (A*STAR)
Inaugural Cybersecurity Research and Development Grant Call,Project ASPIRE: Advancing Security of Public Infrastructure using Resilience and Economics,Prof. MATHUR Aditya,Singapore University of Technology and Design
EWI Open Call 13/01 for Water Technologies,Aquaporin Based Biomimetic Forward Osmosis Membranes: From lab scale production of membranes to pilot scale production and industrial test bedding of membrane modules,Mr. PERRY Mark Edward,Environment & Water Industry Programme Office (EWI)
EWI Open Call 13/01 for Water Technologies,Cake Filtration for Next-Generation Separation,Dr. GAO Xin,Environment & Water Industry Programme Office (EWI)
EWI Open Call 13/01 for Water Technologies,Captivator-BNR: An Energy-Neutral WWTP Configuration Using DAF-Based Biosorption as Primary Treatment and Aerated Anoxic Technology as BNR Treatment to Achieve Excellent Carbon and Nitrogen Removal,Dr. DING Hongbo,Environment & Water Industry Programme Office (EWI)
EWI Open Call 13/01 for Water Technologies,Novel carbon nanostructure based membranes for low-energy water desalination and purification,Prof. YANG Hui Ying,Singapore University of Technology and Design
EWI Open Call 13/01 for Water Technologies,Molecular Imprinted Polymers (MIPs) for the chemosensing of algal toxins in water,Prof. CHAI Christina,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Water Safety Monitoring and Risk Assessment: Real-time Sensors for Threat Agents Detection,Prof. LI Sam,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Characterization of selected channels and transporters of ions and small molecules as potential components of biomimetic membranes used in desalination and water purification,Dr. LAM Siew Hong,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Mechanistic study of salt uptake and desalination process in the mangrove tree Avicennia officinalis,Prof. KUMAR Prakash,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Development of analytical method for endotoxins and determination of their levels in water treatment plants,Prof. LI Sam,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Development of Rapid Sampling Methods and Microbial Signatures for Monitoring of Singapore Recreation Aquatic Facilities,Dr. LEE Yuan Kun,National University of Singapore
EWI Open Call 13/01 for Water Technologies,A Transformative Polymer-based Heat Exchanger with a Modular Multi-Core System of Curved Microfluidic Channels Utilizing the Inherent Unique Dynamics of Dean Vortices (THERMIC),Prof. CHEN Peter Chao Yu,National University of Singapore
EWI Open Call 13/01 for Water Technologies,A high throughput functionalized moving surface for continuous heavy metal ion extraction from waste streams,Prof. BLACKWOOD Daniel,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Emerging microbial contaminants of concern in tropical urban catchments,Prof. GIN Karina,National University of Singapore
EWI Open Call 13/01 for Water Technologies,Improved Recovery and Energy Efficient Reverse Osmosis (RO) Process,Dr. CHONG Tzyy Haur,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,"Robust and High Performance Aquaporin-based Biomimetic Membranes for Water Reuse, Desalination and Energy Recovery",Prof. WANG Rong,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,Biomimetic Water Desalination Process: Learning from Mangrove,Prof. LIM Sierin,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,Dual-functional hybrid membrane based on carbon aerogels for highly efficient oil removal from wasterwater,Prof. ZHANG Hua,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,Development of high-performance membranes for the recovery of methane from anaerobic digestion processes,Dr. BAE Tae-hyun,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,Application of Nitric Oxide to Control Biofouling on Water Purification Membranes for Reverse Osmosis and Membrane Bioreactors,Prof. RICE Scott,Nanyang Technological University
EWI Open Call 13/01 for Water Technologies,Adaptation of existing biological nutrient removal plants to achieve mainstream complete autotrophic nitrogen removal- as demonstrated in Changi Water Reclamation Plant,Prof. WUERTZ Stefan,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Improving Reliability and Economic Performance of Microgrids,Prof. GOOI Hoay Beng,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Power Generation in Chlor-Alkali Plants Using Hydrogen Fuel Cells,Prof. CHAN Siew Hwa,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Adaptive Integrated Hybrid DC-AC Micro Power Parks System,Dr. WANG Peng,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,DG-TISE: Flexible Distributed Generation using Tidal In-Stream Energy System for Remote Island Applications,Prof. NARASIMALU Srikanth,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Efficient Low Flow Wind Turbine,Prof. NARASIMALU Srikanth,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Hub-wide Grid Planning and Management System for Industrial Hubs,Dr. HU Guoqiang,Nanyang Technological University
Directed Call for Proposals on Clean Energy Generation Systems and Microgrid systems,Innovative power system control and energy management for solar PV hybrid systems using forecasting and multi-objective optimization techniques for advanced and economic diesel replacement business,Prof. PANDA Sanjib Kumar,National University of Singapore
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules",Feasibility of high-efficiency aluminium local back surface field multicrystalline silicon wafer solar cells,Prof. ABERLE Armin,National University of Singapore
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules",Advanced metallization concepts enabling cost reduction for industrial high-efficiency silicon wafer solar cells,Dr. MUELLER Thomas,National University of Singapore
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules",Enabling Thin Silicon Technologies for Lower-Cost Next Generation Silicon Solar PV Systems,Prof. BUDIMAN Arief,Singapore University of Technology and Design
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules",Innovative manufacturing processes for low cost flexible GaAs solar cells,Dr. MATHEWS Nripan,Nanyang Technological University
"Directed Call for Proposals on Cost Reductions through Innovations in Materials and Manufacturing Processes for Solar Wafers, Cells and Modules","Advanced Metallization & Interconnection Methods for Manufacturing Low Cost, High Efficiency Solar Cells and Modules",Dr. SRIDHARA Shankar Gauri,Private Companies (others)
Land and Liveability (L2) NIC First Call for Proposals,na,na,na
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,An Enhanced Condition Monitoring System for Gas Pipes Using Fiber Optic Sensors,Prof. SO Ping Lam,Nanyang Technological University
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,LNG POWER GENERATION FROM GAS TURBINE AND STIRLING ENGINE,Dr. DUAN Fei,Nanyang Technological University
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,An Integrated Solution for Optimal Generation Operation Efficiency Through Dynamic Economic Dispatch,Prof. WANG Qing-guo,National University of Singapore
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,Improving Tembusu Multi-Utilities Complex Cogeneration Plant Reliability and Availability  through Expert Operation Decision Support System and Enhanced Predictive Condition Monitoring System,Mr. SELVARAJ Sankar,Private Companies (others)
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,Mitigation of Haze Effect on Gas Turbine Performance,Mr. MOHAN DASS Ettanoor Thuppale,Nanyang Technological University
Directed Call for Proposals on Innovative Solutions that Address Industry-Relevant Challenges in the Power Generation Sector,Developing A Fibre Optic Sensing Solution For Gas Pipeline Monitoring (Resubmission),Mr. ONG Min Sing,Private Companies (others)
12/2013 - Competitive Research Programme (CRP) 12th Call (Open/General),na,na,na
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),"An innovative air treatment system for improved air quality, reduced humidity load and energy efficient ACMV",Dr. CHUA Ernest Kian Jon,National University of Singapore
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),Adaptive Occupancy Based Localized Cooling Control of ACMV Systems,Prof. XIE Lihua,Nanyang Technological University
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),Measurement and Verification of Chilled-water Plant,Prof. CAI Wenjian,Nanyang Technological University
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),Development of a Novel Oblique Fin Air-Conditioning (OFAC) System,Prof. LEE Poh Seng,National University of Singapore
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),Intelligent Information Management System for Smart Buildings using Multi-Agent-Enabled Wireless Sensor-Actuator Networks,Prof. PANDA Sanjib Kumar,National University of Singapore
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),REPLACEMENT OF COOLING TOWER BY COMPACT WATER AND ENERGY SAVING SUPER HYDROPHOBIC MEMBRANE BASED EVAPORATIVE COOLER,Mr. ANTONY PRINCE James Selvaraj,Ngee Ann Polytechnic
Directed Call for Proposals on Building Energy Efficiency (EIPO RFP 6),Comfort-Driven Distributed ACMV Control Retrofit: Driving Energy Efficiency with Novel Sensing and Control Applications,Dr. HU Guoqiang,Nanyang Technological University
EWI Challenge Request-for-Proposal (RFP) on Achieving ?93% Water Recovery from Membrane Bioreactor Filtrate,Electrodialysis Reversal (EDR) based Low-cost Low-energy Technologies for Achieving ? 93% Water Recoveries from Membrane Bioreactor (MBR) Filtrate,Dr. RAMANAN Harikrishnan,Environment & Water Industry Programme Office (EWI)
11/2012 - Competitive Research Programme (CRP) 11th Call (Open/General),na,na,na
Thematic Call for Proposals on innovative satellite technologies,Development of microfabricated travelling-wave tube amplifiers (TWTAs) at Ka-band,Prof. ADITYA Sheel,Nanyang Technological University
Thematic Call for Proposals on innovative satellite technologies,Surface plasmon enhanced uncooled midwave infrared photodetecting cameras for thermal imaging,Prof. ZHANG Dao Hua,Nanyang Technological University
Thematic Call for Proposals on innovative satellite technologies,"Operational derivation of water quality, water depth and sea bottom type from remote sensing satellite data",Dr. LIEW Soo Chin,National University of Singapore
Thematic Call for Proposals on innovative satellite technologies,Light Field Imaging Spectrometer (LFIS) for Atmosphere Pollution Monitoring by Satellite,Prof. MIAO Jianmin,Nanyang Technological University
Thematic Call for Proposals on innovative satellite technologies,"Regional Air Quality Monitoring and Forecasting using Remote Sensing Satellites, Ground-level Measurements and Numerical Modeling",Dr. SALINAS CORTIJO Santo Valentin,National University of Singapore
Thematic Call for Proposals on innovative satellite technologies,Advanced Baseband Receiver Algorithms for High Efficiency Satellite Imagery,Dr. YEN Kai,Science and Engineering Research Council (A*STAR)
Thematic Call for Proposals on innovative satellite technologies,Electronic Beamforming for Synthetic Aperture Radar Payload on Small Satellite,Dr. YEO Swee Ping,National University of Singapore
Thematic Call for Proposals on innovative satellite technologies,Visual Semantic Mining of Satellite Imagery,Dr. LU Shijian,Science and Engineering Research Council (A*STAR)
Thematic Call for Proposals on innovative satellite technologies,Multimode High Speed RF Inter-Satellite Link for Small Satellites,Dr. CHIA Yan-wah,Science and Engineering Research Council (A*STAR)
Thematic Call for Proposals on innovative satellite technologies,Metamaterial-based millimetre wave beamforming circularly polarized antenna array for satellite systems,Dr. QING Xianming,Science and Engineering Research Council (A*STAR)
Thematic Call for Proposals on innovative satellite technologies,The Joint Viterbi Detector/Decoder (JVDD) for Satellite Communication,Dr. CHAN Kheong Sann,Science and Engineering Research Council (A*STAR)
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),Peripheral Nerve Prostheses - A Paradigm Shift in Restoring Dexterous Limb Function,Dr. THAKOR Nitish,National University of Singapore
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),NEW APPROACH TO LOW POWER INFORMATION STORAGE: ELECTRIC-FIELD CONTROLLED MAGNETIC MEMORIES,Dr. CHEN Jingsheng,National University of Singapore
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),Pure Spin Current and Spin Wave Devices,Prof. ADEYEYE Adekunle,National University of Singapore
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),Development of Super-resolution and High-sensitivity Optical Nanoscopes,Prof. HONG Minghui,National University of Singapore
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),LEARNING FROM BATS: FROM GENOMICS TO CONTROLLING VIRAL INFECTION AND COMBATING CANCER,Prof. WANG Linfa,Duke-NUS GMS Singapore
10/2012 - Competitive Research Programme (CRP) 10th Call (open/general),RECHARGEABLE HIGH POWER AQUEOUS LITHIUM-AIR BATTERIES (Resubmission),Prof. ADAMS Stefan,National University of Singapore
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),Non-volatile Magnetic Logic and Memory Integrated Circuit Devices,Dr. LEW Wen Siang,Nanyang Technological University
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),Artificial Liver Platform for Next-Generation Drug Discovery and Development,Prof. CHO Nam-joon,Nanyang Technological University
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),Fundamental Limits and Applications of the Atomic Level Ion Source: (Angstrom Level Imaging and Quantum Foundry),Prof. PICKARD Daniel,National University of Singapore
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),Toward Commercialization of Graphene Technologies,Dr. ÖZYILMAZ Barbaros,National University of Singapore
9/2011 - Competitive Research Programme (CRP) 9th Call (Track A: Open/General Competitive Research Programme (CRP)),Research and Development of Novel Interfacial Water Technologies,Prof. MATSUDAIRA Paul,National University of Singapore
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",Towards Green Datacenters as an Interruptible Load for Grid Stabilization in Singapore,Dr. WEN Yonggang,Nanyang Technological University
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",Dynamic Optimization and Energy Management for Smart Grids,Prof. SRINIVASAN Dipti,National University of Singapore
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",Research on DC microgrid for performance enhancement of smart grid,Dr. WANG Huaqian,Singapore Polytechnic
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",Wattalyzer: An Integrated Solution for Smart Grid Condition Monitoring through Advanced Sensing and Real-Time Analytics,Dr. KRISHNASWAMY Shonali,Science and Engineering Research Council (A*STAR)
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.",Demand Focused Smart Energy Management in End User Environments for Sustainable Cities,Prof. WOOD Kristin,Singapore University of Technology and Design
"EIRP02: Directed call for proposals on innovative Smart Grid solutions in the areas of (i) Grid Analytics and Sensors, and (ii) Distributed Energy Management, Storage and Control Systems.","Advanced Solar PV Communication and Control device for optimized systems performance, reliable metering and enhanced grid stability",Dr. REINDL Thomas,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Development and Demonstration of Silicon-Carbide based Power Electronic Converter for Motor-Generator Control in Hybrid Electric Vehicles,Prof. TSENG King Jet,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,A New Endoluminal Device for Duodenal Exclusion in Treatment of Type 2 Diabetes Mellitis and Obesity,Prof. SO Jimmy Bok-yan,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Photonic MEMS-Integrated Wavelength Tunable Laser via Silicon Thermo-optical Digital Mirrors,Prof. LIU Ai Qun,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Development of a Hand-held Solid Dispenser Using a Motor-Driven Auger,Dr. LEE Ken Chi Lik,Singapore Polytechnic
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Anti-inflammatory peptide loaded microemulsion gel formulation as potential therapeutic for post-operative adhesion,Prof. PONNAMPALAM Gopalakrishnakone,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Development of a new and precise spherical air bearing alignment system for double-sided nano-imprinting of disk media,Prof. TAN Kok Kiong,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,A human monoclonal biotherapeutic to target the dengue NS3 protein,Prof. VASUDEVAN Subhash,Duke-NUS GMS Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,New Grid Array antennas and Their Integration Method for An Innovative Solution to 60?GHz Radio Devices,Prof. ZHANG Yue Ping,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Spin wave based nondestructive semiconductor testing tools,Prof. YANG Hyunsoo,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Low Cost High Performance Anti Reflective Coating Based on Si Nanocrystals Embedded in SiO2 Film,Ms. GOH SHING MEI Eunice,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,High Efficiency Electrogenerated Chemiluminescence with Colloidal Quantum Dot Emitters in Ultrathin Cells for Display Applications,Prof. SUN Xiaowei,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,A Semantics-based and Service-Oriented Framework for the Virtualization of Sensor Networks,Dr. LIM Hock Beng,Nanyang Technological University
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,"This is a proposal to develop a prototype for HedgeSPA.com (HEDGE Fund and SPecial Investment Advisors) at a cost of S$250,000 starting by July 1, 2009 and ending by June 30, 2010. (Resubmission)",Prof. LEE Bernard,SMU-POC
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Processing Full Range of Waste Grease into Renewable Energy,Ms. SONG Sin Nee,Republic Polytechnic
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,Single-coil superconducting miniundulator – the next step towards high-brilliance synchrotron radiation,Prof. MOSER Herbert O.,National University of Singapore
NRF Proof-of-Concept (POC) Call For Proposal 2/2009,"New compact, fast, parallel-processing Fourier-transform interferometer (FPP-FTIR) enabling short-pulse spectroscopy (Resubmission)",Prof. MOSER Herbert O.,National University of Singapore
NRF Proof-of-Concept (POC) 9th Grant Call,Real-Time Monitoring and Fault Detection of Train’s Electrification System,Prof. SEE Kye Yak,Nanyang Innovation and Enterprise Office (NTU)
NRF Proof-of-Concept (POC) 9th Grant Call,Next Generation High Performance Uncooled Infrared Image Sensors Based on AlGaAs/InGaAs Heterostructure Thermopiles Technology,Prof. WANG Hong,Nanyang Innovation and Enterprise Office (NTU)
NRF Proof-of-Concept (POC) 9th Grant Call,Method and apparatus for enhancing sensitivity of optical coherence tomography,Dr. LIU Linbo,Nanyang Innovation and Enterprise Office (NTU)
NRF Proof-of-Concept (POC) 9th Grant Call,Blood Perfusion Monitoring Device for Application in Ischemic Foot,Prof. LEE Kijoon,Nanyang Innovation and Enterprise Office (NTU)
NRF Proof-of-Concept (POC) 9th Grant Call,Measurement And Insertion Device (MAID) for in-office unsedated tracheoesophageal puncture,Dr. CHUI Chee Kong,NUS Industry Liaison Office
NRF Proof-of-Concept (POC) 9th Grant Call,Development of an Energy Efficient Expander-compressor Unit for Refrigeration/Air-con Systems,Dr. OOI Kim Tiow,Nanyang Innovation and Enterprise Office (NTU)
NRF Proof-of-Concept (POC) 9th Grant Call,Multiplex Oligonucleotide-linked Signal Amplification Technology (MOST) and Its Application to the Investigation of Encephalitis of Unknown Etiology,Prof. WANG Linfa,NUS Industry Liaison Office
NRF Proof-of-Concept (POC) 9th Grant Call,The World’s First Prognostic Kit for Dengue,Prof. NG Mah-lee,NUS Industry Liaison Office
