Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
586,586,2012,England,Hospital,481,62,0.129,0.984,0.93,0.131,0.607,0.262,0.065,0.29,0.5,0.145,0,0.7,0.02,0.3,0.5,0.064,0.061,0.036,0.339,0.471,0.255,0.333,0.275,0.1,0.8,0.111,0.222,0.07,0.086,0.896,0.722,0.685,0.784,0.918,0.322,0.775,0.17,0.101,0.559,0.86,0.731,0.016,-1.157490779,-0.279318626,-0.974932632,0.7231705386,0.5327653028,-0.520805937,0.2161702862,-0.07613966,0.7074264776,0.0779046542
587,587,2012,England,Hospital,56,8,0.143,1,0.25,0.143,0.857,0,0,0.125,0.75,0.125,0,0.02,0.018,0.5,0.025,0.07,0.029,0.0285,0.125,0,0,0,0,0.125,1,0.25,0.25,0.05,0.3448,1,0.741,0.741,0.726,1,0.258,0.789,0.125,0,0.272,1,1,0,4.3341917849,-1.126001011,-2.654227238,-1.318701425,-0.596185467,-2.506653813,1.6366997729,0.3324820694,-1.425174359,0.3153717066
588,588,2012,England,Hospital,733,94,0.128,0.894,0.857,0.086,0.591,0.323,0.075,0.226,0.484,0.215,0,0.035,0.8,0.4,0.4,0.065,0.064,0.044,0.217,0.411,0.301,0.178,0.151,0.074,0.833,0.802,0.802,0.063,0.16,0.931,0.813,0.768,0.829,0.954,0.512,0.904,0.11,0.077,0.71,0.855,0.851,0.054,1.5792339652,-1.363598225,0.5250892443,2.9671688436,2.3075562851,0.0635451114,0.2751953821,1.6372968371,-1.461015392,1.0082218199
589,589,2012,England,Hospital,905,163,0.18,0.785,0.898,0.075,0.675,0.25,0.095,0.31,0.443,0.127,0.025,0.5,0.9,0.2,0.2,0.066,0.062,0.038,0.226,0.562,0.35,0.328,0.314,0.081,0.3,0.182,0.217,0.138,0.221,0.705,0.657,0.578,0.826,0.792,0.409,0.806,0.338,0.225,0.52,0.773,0.714,0.067,-3.104787406,-1.289147572,-0.318152168,1.0452332363,0.1013979506,0.6713183264,1.0373519836,0.6372411289,-1.501977233,1.031373279
590,590,2012,England,Hospital,112,14,0.125,0.929,0.615,0.071,0.857,0.071,0.143,0.214,0.5,0.143,0,0.054,0.012,0.026,0,0.068,0.068,0.058,0.286,0,0,0,0,0.071,1,0.5,0.5,0.111,0.154,0.894,0.768,0.793,0.507,1,0.165,0.919,0.094,0.279,0.408,0.534,0.296,0,3.7396042779,-2.95969414,1.4408613648,-3.460942691,-0.676213043,-0.033584051,-3.702366163,2.6317932473,0.6418369225,-0.292204217
591,591,2012,England,Hospital,229,37,0.162,0.514,1,0,0.944,0.056,0,0.351,0.486,0.162,0,0.029,1,0.9,0.015,0.07,0.068,0.039,0.324,0.25,0.125,0.156,0.063,0.108,0.5,0.324,0.324,0.1,0.294,0.896,0.837,0.766,0.753,0.964,0.808,0.966,0.121,0.228,0.715,0.941,0.533,0,2.3590261067,-0.560857668,0.9166625107,1.6849270909,-1.800689535,-0.027731164,0.3689155323,0.0650789303,-0.414463281,1.7374548689
592,592,2012,England,Hospital,624,73,0.117,0.781,0.861,0.083,0.722,0.194,0.029,0.4,0.371,0.186,0.014,0.026,0.021,0.3,0.6,0.068,0.062,0.039,0.708,0.51,0.388,0.286,0.327,0.097,0.4,0.239,0.31,0.149,0.121,0.738,0.648,0.55,0.707,0.636,0.163,0.838,0.423,0.288,0.591,0.596,0.502,0.042,-2.917656278,-2.697425986,0.8827909311,0.1137053984,0.8913516339,-0.793692128,-0.793334219,0.234544689,1.9653728459,-2.06970795
593,593,2012,England,Hospital,717,113,0.158,0.956,0.925,0.027,0.735,0.239,0.063,0.321,0.384,0.205,0.027,0.015,0.6,0.1,0.5,0.067,0.065,0.044,0.186,0.382,0.247,0.236,0.202,0.082,0.444,0.573,0.609,0.072,0.284,0.849,0.698,0.517,0.817,0.944,0.365,0.861,0.2,0.222,0.438,0.726,0.699,0.044,-0.427922513,-2.149616694,1.5201196079,0.9233085082,0.6830337497,-0.144107733,-0.292825932,1.7452727223,-1.693693315,0.1222326674
594,594,2012,England,Hospital,181,25,0.138,0.92,0.84,0.042,0.708,0.25,0.08,0.36,0.28,0.24,0.04,0.018,0.019,1,0.9,0.069,0.069,0.055,0.208,0.267,0.2,0.067,0.133,0.042,1,0,0,0,0.105,0.902,0.886,0.886,1,1,0.68,0.897,0.186,0.092,0.912,0.897,0.89,0.04,3.3428640851,-0.570459508,-0.274580412,3.3780937044,-2.430964514,0.3941201955,1.4600261005,0.870345527,3.0799360297,-0.376338589
595,595,2012,England,Hospital,265,44,0.166,0.886,0.889,0.048,0.81,0.143,0.07,0.209,0.558,0.163,0,0.013,0.5,0.4,0,0.069,0.065,0.039,0.256,0.452,0.355,0.161,0.258,0,0,0.317,0.341,0.054,0.233,0.904,0.719,0.675,0.831,0.925,0.466,0.906,0.134,0.079,0.49,0.958,0.801,0,-0.449658542,-0.264265933,0.0346758015,2.119916178,-1.053764827,0.3508241099,-0.288326632,-0.870205591,-1.844541821,-0.471388837
596,596,2012,England,Hospital,879,127,0.144,0.961,0.864,0.135,0.611,0.254,0.048,0.4,0.368,0.152,0.032,0.021,0.9,0.3,0.8,0.069,0.068,0.038,0.238,0.456,0.252,0.311,0.252,0.112,0.429,0.333,0.39,0.132,0.282,0.885,0.701,0.827,0.875,0.937,0.46,0.9,0.252,0.303,0.514,0.95,0.697,0.039,-0.663600893,-1.217540197,0.7101534991,2.927453694,-0.156401685,0.0058371346,1.2136783717,1.1154681123,-0.979021559,0.1128594489
597,597,2012,England,Hospital,674,85,0.126,0.882,0.827,0.073,0.659,0.268,0.024,0.446,0.241,0.169,0.12,0.027,0.015,0.4,0.4,0.068,0.064,0.038,0.386,0.413,0.254,0.254,0.222,0.145,0.125,0.154,0.179,0.098,0.266,0.912,0.791,0.711,0.846,0.774,0.431,0.862,0.187,0.134,0.617,0.882,0.836,0.024,-0.262833172,0.1811423651,-0.329297331,1.5695999728,-0.710219004,0.0918304009,0.5473544345,0.1934917773,0.1246635556,-1.601885192
598,598,2012,England,Hospital,626,89,0.142,0.854,0.678,0.067,0.629,0.303,0.079,0.393,0.36,0.124,0.045,0.03,0.3,0.012,0.8,0.068,0.067,0.042,0.75,0.24,0.133,0.133,0.12,0.114,0.7,0.809,0.876,0.069,0.148,0.795,0.753,0.734,0.941,0.812,0.496,0.879,0.206,0.119,0.67,0.816,0.783,0.112,2.7333495077,-1.227149375,2.8854205811,1.4862818843,2.9510451376,-0.787721297,0.3266250962,0.3207778865,0.3906397258,-1.641929612
599,599,2012,England,Hospital,450,65,0.144,0.785,0.883,0.154,0.508,0.338,0.082,0.279,0.393,0.213,0.033,0.011,0.4,0.2,0.4,0.07,0.068,0.044,0.219,0.279,0.14,0.279,0.209,0.109,0.4,0.459,0.525,0.089,0.15,0.871,0.689,0.527,0.797,0.916,0.477,0.942,0.173,0.157,0.622,0.738,0.828,0.015,0.542824458,-1.041251808,1.7736650261,1.1240620925,-0.216637245,0.2698047821,-0.369843384,0.7862869159,-0.412307833,0.4348083283
600,600,2012,England,Hospital,257,40,0.156,0.9,0.857,0.15,0.725,0.125,0.05,0.3,0.525,0.125,0,0.012,0.7,0.2,0.2,0.069,0.068,0.046,0.872,0.111,0.074,0.037,0.074,0.15,1,0.525,0.65,0.121,0.27,1,0.862,0.823,0.68,1,0.497,0.801,0.16,0.204,0.599,0.847,0.702,0,4.5754179053,-0.769055276,1.9085781468,0.9035381439,0.9450615767,-1.167878941,-0.898068198,0.2479060193,0.4526078263,-0.350340454
601,601,2012,England,Hospital,442,59,0.133,0.983,0.964,0.119,0.475,0.407,0.071,0.339,0.393,0.196,0,0.027,0.7,0.6,0.6,0.069,0.067,0.039,0.322,0.3,0.15,0.175,0.1,0.119,0.857,0.169,0.203,0.15,0.161,0.766,0.837,0.631,0.858,0.91,0.508,0.897,0.226,0.24,0.44,0.796,0.724,0.153,0.9631174961,-1.728382581,1.3025377103,1.1591152886,-1.303396957,-0.590965122,1.6448072491,1.6845930597,0.5306682029,0.2005255755
602,602,2012,England,Hospital,299,42,0.14,0.976,0.838,0.049,0.732,0.22,0.049,0.341,0.293,0.317,0,0.042,0.012,0.6,0.3,0.065,0.057,0.025,0.244,0.36,0.04,0.36,0.16,0.073,1,0.049,0.049,0.067,0.095,0.881,0.606,0.835,0.779,0.85,0.5,0.773,0.154,0.196,0.617,0.764,0.612,0,-0.290156386,-0.419291007,-0.837775415,-0.324117413,-0.893639879,-1.781259406,0.6708521537,0.9386934002,1.9900194779,1.047238645
603,603,2012,England,Hospital,378,60,0.159,0.817,0.831,0.05,0.65,0.3,0.055,0.327,0.582,0.036,0,0.013,0.011,0.2,0.7,0.069,0.064,0.041,0.25,0.264,0.208,0.113,0.094,0.15,0.5,0.424,0.458,0.077,0.276,0.774,0.669,0.638,0.889,0.85,0.421,0.831,0.148,0.124,0.506,0.889,0.78,0.033,1.5258452323,-1.388161643,1.2806019568,0.4790482323,-0.142648494,-0.241070305,0.4103090005,-0.004855736,-0.128246406,-1.147546751
604,604,2012,England,Hospital,579,114,0.197,0.939,0.894,0.134,0.67,0.196,0.134,0.33,0.348,0.161,0.027,0.022,1,0.9,0.3,0.069,0.068,0.048,0.46,0.253,0.184,0.115,0.138,0.143,0.938,0.893,0.922,0.12,0.176,0.883,0.721,0.562,0.737,0.869,0.539,0.883,0.244,0.233,0.551,0.926,0.826,0.044,2.8243598093,-2.464218074,2.9872182989,2.5726316839,1.8868167586,-0.037598367,0.693815474,0.6571541012,-1.401111016,1.1641724873
605,605,2012,England,Hospital,240,73,0.304,0.438,0.873,0.083,0.694,0.222,0.028,0.431,0.403,0.139,0,0.9,0.011,0.5,0.1,0.066,0.063,0.034,0.589,0.458,0.237,0.271,0.169,0.085,0.4,0.113,0.408,0.122,0.23,0.807,0.678,0.424,0.745,0.688,0.354,0.823,0.291,0.276,0.461,0.586,0.45,0,-1.886499336,-0.933780069,1.2378339386,-1.651655826,-0.061917288,-1.230330123,-1.738724505,-0.419471602,0.5519560125,0.2171087582
606,606,2012,England,Hospital,481,90,0.187,0.511,0.933,0.067,0.6,0.333,0.022,0.6,0.344,0.033,0,0.7,0.6,0,0.1,0.069,0.059,0.026,0.333,0.575,0.313,0.5,0.363,0.124,0.455,0.172,0.276,0.133,0.2,0.626,0.504,0.464,0.968,0.754,0.329,0.864,0.38,0.119,0.601,0.798,0.507,0.111,-4.758369263,-0.912557573,0.4947424162,-0.018650691,0.8855561765,0.4325898273,0.9681980399,-1.221374139,-0.123213529,1.4491512303
607,607,2012,England,Hospital,99,15,0.152,0.667,0.133,0,0.733,0.267,0,0.133,0.533,0.133,0.2,0.7,0,0,0,0.07,0.07,0.056,0.133,0.75,0.417,0.5,0.417,0,0.5,0,0,0,0.067,0.83,0.797,0.913,0.727,0.862,0.599,1,0.17,0.257,0.659,0.906,0.554,0,-3.474439128,0.9217492741,-1.638997984,2.2189846804,-1.121052907,2.1492559506,-2.547717788,-0.849669081,1.1979533767,-0.086409945
608,608,2012,England,Hospital,220,20,0.091,0.5,0.368,0,0.65,0.35,0,0.842,0.158,0,0,1,0.7,0,0,0.067,0.057,0.036,0.1,0.579,0.211,0.579,0.368,0,0.667,0.15,0.2,0.167,0,0.765,0.776,0.615,0.939,0.661,0.422,0.925,0.522,0.291,0.732,0.821,0.547,0.1,-3.578323784,0.2300853515,-1.189718261,0.7282558061,0.4474458222,0.3623941837,0.2077714503,-0.627001646,0.1211814287,2.7771382449
609,609,2012,England,Hospital,321,34,0.106,1,1,0.147,0.706,0.147,0.182,0.455,0.242,0.121,0,0.026,0.5,0.04,0.022,0.067,0.065,0.044,0.265,0.292,0.208,0.125,0.125,0.118,0.75,0.094,0.094,0.036,0.194,0.891,0.892,0.918,0.826,1,0.258,0.918,0.069,0.202,0.772,0.681,0.735,0.059,1.5341447735,-0.634527835,-1.364016206,0.4697428094,-1.190430801,0.4901273921,-0.476653955,1.5660377657,0.8957742815,0.4620698752
610,610,2012,England,Hospital,177,31,0.175,1,0.933,0.033,0.733,0.233,0,0.552,0.241,0.207,0,0.024,0.9,0.017,0,0.07,0.068,0.049,0.267,0.55,0.5,0.1,0.25,0.067,0,0,0.033,0.04,0.333,0.961,0.85,0.886,1,1,0.414,1,0.148,0.296,0.818,0.908,0.547,0,-0.728860617,0.0633553489,-1.396594634,2.8159736734,-2.441668337,1.2673325864,-0.761461046,-0.5844939,-0.734018797,-0.195004383
611,611,2012,England,Hospital,486,73,0.15,0.849,0.855,0.057,0.686,0.257,0.056,0.375,0.361,0.194,0.014,0.2,0.7,0.1,0.1,0.068,0.061,0.043,0.265,0.56,0.32,0.28,0.28,0.014,0,0.029,0.057,0.052,0.174,0.942,0.737,0.604,0.898,0.862,0.436,0.897,0.238,0.214,0.539,0.88,0.684,0.014,-2.014979565,-0.034525187,-0.740272495,1.5391159202,-1.710554478,0.138213155,0.2831669541,-0.078035886,-1.560272393,-0.106597947
612,612,2012,England,Hospital,479,101,0.211,0.861,0.885,0.05,0.67,0.28,0.03,0.287,0.495,0.188,0,1,0.4,0,0.3,0.069,0.067,0.046,0.388,0.377,0.208,0.221,0.234,0.131,0.385,0.326,0.347,0.071,0.172,0.97,0.715,0.785,0.829,0.886,0.507,0.905,0.189,0.215,0.661,0.877,0.764,0.01,0.6415554874,1.005259912,0.2389329447,1.0776867211,0.2879523273,0.8156027387,-0.805955962,-0.516550821,-0.742472848,0.3838559075
613,613,2012,England,Hospital,370,52,0.141,0.942,0.813,0.038,0.635,0.327,0.038,0.288,0.423,0.25,0,0.021,0.7,0.8,0.4,0.04,0.07,0.07,0.962,0.263,0.158,0.132,0.184,0.096,0.6,0.942,0.942,0.041,0.265,0.955,0.768,0.697,0.919,0.776,0.329,0.926,0.187,0.288,0.486,0.89,0.768,0,3.6490833854,-3.352732654,1.4876467588,2.0781463224,3.3954448685,-3.850854547,0.4308248837,-0.256402476,-2.332684343,-1.841189083
614,614,2012,England,Hospital,142,25,0.176,1,0.92,0.125,0.583,0.292,0.12,0.36,0.4,0.12,0,0.053,0.026,0.011,0.5,0.069,0.066,0.048,0.48,0.478,0.348,0.217,0.348,0.16,0.5,0.64,0.64,0.16,0.16,0.923,0.899,0.689,1,1,0.843,0.964,0.388,0.09,0.549,0.881,0.797,0,0.3389940996,0.5531143163,1.3168971131,3.6667625099,1.2659185469,-0.674195486,-1.787866907,-0.332673532,-0.137258342,-1.525371831
615,615,2012,England,Hospital,426,69,0.162,0.928,0.938,0.029,0.647,0.324,0.091,0.303,0.379,0.227,0,0.02,0.022,0.5,0.1,0.067,0.06,0.037,0.203,0.362,0.17,0.277,0.17,0.015,0,0.075,0.094,0.195,0.237,0.789,0.538,0.6,0.839,0.792,0.4,0.863,0.343,0.269,0.452,0.687,0.677,0.029,-1.368988937,-1.144799528,0.2557327444,-0.772564279,-2.041834505,-0.398679564,0.0735522363,0.5725783675,-0.469574048,-0.607322247
616,616,2012,England,Hospital,432,74,0.171,0.919,0.908,0.153,0.639,0.208,0.054,0.297,0.351,0.297,0,1,0.3,0,0.1,0.069,0.069,0.056,0.164,0.234,0.064,0.191,0.17,0.054,0,0.068,0.068,0.069,0.11,0.874,0.706,0.619,1,1,0.647,0.941,0.258,0.305,0.593,1,0.874,0,1.7096707239,1.5255029383,0.3281333968,0.3383948693,-2.271956141,2.031962551,0.4805406084,-1.075114664,-1.915740992,0.3329069887
617,617,2012,England,Site,628,104,0.166,0.846,0.798,0.121,0.636,0.242,0.062,0.474,0.289,0.124,0.052,0.031,0.8,0.5,0.3,0.067,0.06,0.035,0.313,0.506,0.392,0.215,0.291,0.13,0.364,0.167,0.198,0.16,0.195,0.811,0.733,0.611,0.898,0.869,0.537,0.892,0.24,0.259,0.561,0.773,0.709,0.078,-1.975079211,-1.167953012,-0.199781997,2.0855727843,-0.559894233,-0.452964759,1.1582835276,0.8772258306,-0.674981804,0.2573587615
618,618,2012,England,Hospital,431,51,0.118,0.902,0.837,0.06,0.68,0.26,0.125,0.292,0.438,0.125,0.021,0.015,0.7,0.7,0.5,0.069,0.069,0.042,0.44,0.474,0.447,0.105,0.316,0.106,0.4,0.426,0.447,0.238,0.159,0.961,0.653,0.714,1,1,0.469,0.853,0.122,0.271,0.651,0.968,0.775,0.059,-0.140169063,-0.984877311,1.1442903735,4.0260933299,0.0971290709,0.2186239833,0.9082646707,-0.409640051,-0.645690018,-0.591871721
619,619,2012,England,Hospital,182,35,0.192,0.886,0.939,0,0.706,0.294,0.029,0.324,0.529,0.118,0,0.022,0.016,0.5,0.5,0.068,0.068,0.047,0.353,0.367,0.233,0.2,0.2,0.118,0,0.059,0.118,0,0.118,0.747,0.782,0.604,0.732,0.795,0.479,0.807,0.206,0.251,0.34,0.777,0.704,0,-0.37933932,-1.502198795,0.7780764059,0.5444037077,-2.572521977,-0.592924494,-0.797811993,-0.194799794,0.2071725586,-1.933544829
620,620,2012,England,Hospital,281,57,0.203,0.193,0.685,0.109,0.764,0.127,0.019,0.604,0.283,0.057,0.038,0.02,0.4,0.2,0.7,0.065,0.061,0.029,0.25,0.326,0.13,0.239,0.196,0.075,1,0.173,0.25,0.089,0.192,0.742,0.571,0.462,0.738,0.388,0.213,0.622,0.429,0.274,0.376,0.767,0.561,0,-1.164926419,-2.295299112,1.1527904146,-1.522393262,-0.382919085,-2.475500102,0.9489947238,0.3168295285,1.1793000774,0.742308862
621,621,2012,England,Site,816,150,0.184,0.627,0.856,0.059,0.757,0.184,0.03,0.4,0.422,0.119,0.03,0.018,0.8,0.5,0.3,0.068,0.062,0.034,0.275,0.492,0.274,0.323,0.21,0.041,0.333,0.847,0.854,0.089,0.231,0.791,0.655,0.577,0.668,0.781,0.497,0.715,0.223,0.127,0.627,0.725,0.684,0.074,-1.190498117,-2.215498225,1.6357238283,1.6677890306,2.3595678663,-0.025115887,-0.170409395,1.1412622086,-1.641158948,0.9346783834
622,622,2012,England,Hospital,500,74,0.148,0.865,0.761,0.096,0.781,0.123,0.082,0.288,0.521,0.096,0.014,0.011,0.3,0,0,0.069,0.066,0.05,0.356,0.339,0.214,0.179,0.196,0.096,0.429,0.722,0.833,0.154,0.246,0.821,0.729,0.647,0.716,0.825,0.529,0.853,0.242,0.425,0.487,0.866,0.598,0,0.9219769659,-1.126787267,1.7680946458,0.3786777515,1.5540456194,0.6612067303,-1.789361673,0.2351271848,-1.552299396,-0.621615453
623,623,2012,England,Hospital,426,52,0.122,0.981,0.923,0.038,0.654,0.308,0.058,0.173,0.442,0.288,0.038,0.022,0.5,0.2,0.017,0.064,0.063,0.044,0.098,0.364,0.242,0.212,0.212,0.058,0.667,0.277,0.298,0.057,0.152,0.959,0.803,0.76,0.78,0.886,0.398,0.88,0.184,0.131,0.542,0.736,0.695,0.019,0.1019188249,-0.659765018,-0.799477515,0.6611727587,-0.524377169,-0.320699077,-0.741934269,1.8935787771,-0.773645459,0.755861723
624,624,2012,England,Site,365,53,0.145,0.943,0.904,0.038,0.769,0.192,0.039,0.412,0.275,0.275,0,0.033,0.7,0.2,0.2,0.068,0.062,0.055,0.245,0.103,0.069,0.034,0.069,0.094,0.8,0.135,0.173,0.104,0.125,1,0.853,0.682,1,1,0.623,1,0.048,0.195,0.594,1,0.843,0,4.1191899114,0.1129286064,0.1333041435,1.1040293907,-1.957847814,-0.043629154,1.4712662061,0.8624250777,-0.991521358,0.5680961239
625,625,2012,England,Hospital,997,154,0.154,0.662,0.801,0.085,0.536,0.379,0.06,0.463,0.295,0.134,0.047,0.023,0.5,0.5,0.1,0.067,0.067,0.041,0.371,0.306,0.14,0.223,0.231,0.065,0.556,0.26,0.293,0.095,0.182,0.772,0.691,0.573,0.748,0.746,0.359,0.815,0.285,0.248,0.569,0.815,0.67,0.124,-0.30005096,-1.364489234,0.9514116173,-0.085399867,0.1902030966,1.0461686678,1.5971610364,1.505681307,-0.175996723,-0.227050446
626,626,2012,England,Hospital,755,70,0.093,0.557,0.629,0,0.571,0.429,0.06,0.328,0.507,0.06,0.045,0.013,0.012,0.4,0.1,0.068,0.063,0.042,0.313,0.517,0.259,0.31,0.155,0.101,0.667,0.148,0.197,0.078,0.154,0.642,0.544,0.365,0.6,0.705,0.183,0.665,0.311,0.167,0.444,0.767,0.473,0,-2.529090522,-2.99757591,0.7697611919,-1.85037747,-0.278850531,0.8403199188,0.1058333804,0.4290184067,0.585583976,-0.392775054
627,627,2012,England,Site,1327,161,0.121,0.925,0.656,0.069,0.619,0.313,0.05,0.275,0.4,0.225,0.05,0.2,0.3,0,0.019,0.067,0.065,0.046,0.24,0.319,0.235,0.151,0.185,0.115,0.529,0.445,0.781,0.068,0.192,0.899,0.813,0.771,0.82,0.917,0.521,0.907,0.216,0.128,0.686,0.8,0.666,0.037,0.9464047013,0.1053647755,0.2173325874,0.4219504217,2.0376220415,1.8447700104,-0.38735966,2.5598455821,-1.53739353,-0.174777192
628,628,2012,England,Hospital,324,40,0.123,0.875,0.711,0.025,0.625,0.35,0.051,0.308,0.333,0.256,0.051,0.024,0.6,0.013,0.2,0.062,0.058,0.034,0.125,0.72,0.36,0.52,0.44,0.054,1,0.054,0.054,0.138,0.194,0.859,0.744,0.636,0.622,0.785,0.48,0.885,0.035,0.029,0.728,0.77,0.716,0,-4.201913821,-0.457519994,-2.368388706,1.8512531822,0.3963706765,-0.945560254,0.09675171,0.4894545951,1.2530538282,1.7985815098
629,629,2012,England,Hospital,438,56,0.128,0.911,0.9,0.109,0.673,0.218,0.055,0.382,0.309,0.255,0,0.023,0.014,0.9,0,0.065,0.064,0.037,0.109,0.447,0.289,0.289,0.237,0.074,0.25,0.17,0.189,0.061,0.115,0.941,0.898,0.768,0.695,0.669,0.334,0.874,0.287,0.107,0.517,0.887,0.619,0.073,-1.053151497,-0.369899758,-1.346776871,1.0283718523,-1.10550787,0.1498495014,-0.233093333,0.9534045003,-0.103852043,-0.801320582
630,630,2012,England,Hospital,64,11,0.172,1,0.75,0,0.818,0.182,0.1,0.2,0.4,0.3,0,0.034,0.8,0.8,0.013,0.07,0.07,0.059,0.2,0,0,0,0,0.091,0,0.273,0.364,0,0.182,0.779,0.417,0.709,1,1,0.627,1,0.083,0.513,0.365,1,0.779,0,4.1097294288,-1.787957535,2.8938652679,0.295965318,-3.676720202,0.6171707609,1.126060846,-0.861074393,-2.757998083,0.3068463323
631,631,2012,England,Hospital,252,45,0.179,1,0.795,0.067,0.622,0.311,0.068,0.318,0.409,0.205,0,0.028,0.3,0.6,0.5,0.07,0.067,0.036,0.267,0.531,0.094,0.5,0.25,0.093,0.75,0.875,0.9,0.12,0.273,0.923,0.701,0.535,0.701,0.735,0.309,0.708,0.267,0.217,0.344,0.754,0.732,0.022,-1.07199246,-2.179536928,2.8769956247,2.0168434013,1.7921292352,-1.364705384,-1.631496566,0.8793388532,-0.320842548,0.7814205427
632,632,2012,England,Hospital,349,39,0.112,0.949,0.946,0,0.865,0.135,0,0.282,0.487,0.231,0,0.027,0.6,0.8,0.022,0.065,0.062,0.047,0.237,0.259,0.111,0.185,0.111,0.026,0,0,0.088,0.097,0.118,0.854,0.658,0.67,0.877,0.704,0.29,0.953,0.123,0.152,0.471,0.748,0.649,0,0.4836025955,-1.890432982,0.1167163733,-0.279037655,-3.117981941,-0.710384459,0.5728376323,0.6336741957,-1.088141594,0.1666855793
633,633,2012,England,Hospital,912,168,0.184,0.893,0.882,0.036,0.677,0.287,0.096,0.283,0.325,0.277,0.018,0.018,0.8,0.5,0.3,0.067,0.06,0.036,0.222,0.5,0.339,0.286,0.268,0.078,0.111,0.05,0.132,0.066,0.204,0.915,0.833,0.76,0.801,0.842,0.461,0.882,0.2,0.142,0.524,0.849,0.763,0.03,-1.648611218,-0.5576307,-1.334358763,2.3218888747,-1.193499503,-0.125348649,1.0732080435,1.4257729234,-1.342101519,-0.040089346
634,634,2012,England,Hospital,220,32,0.145,0.719,0.581,0.097,0.645,0.258,0.267,0.233,0.267,0.133,0.1,0.046,0.017,0.3,0.048,0.069,0.069,0.045,0.156,0.565,0.261,0.435,0.435,0.107,0.333,0.385,0.385,0.263,0.25,0.827,0.767,0.605,0.856,0.776,0.328,0.775,0.201,0.192,0.72,0.845,0.554,0.323,-3.034696541,-0.326750409,0.6262033346,1.6012243086,0.7427119145,2.009477258,0.1098244391,0.4950367085,0.8499945135,-1.372472265
635,635,2012,England,Hospital,160,20,0.125,0.9,1,0,0.8,0.2,0.05,0.45,0.3,0.15,0.05,0.8,0.7,0.3,0.019,0.068,0.058,0.033,0.105,0.933,0.333,0.867,0.467,0.1,0,0.167,0.167,0.167,0.5,0.881,0.668,0.178,0.718,1,0.111,0.458,0.167,0.492,0.52,0.744,0.178,0,-8.339444682,-2.208753409,-0.493040219,0.8196703018,-0.573215871,0.0389277007,-1.635518767,-1.156258324,-1.049645681,2.4595699001
636,636,2012,England,Hospital,623,99,0.159,0.727,0.753,0.061,0.646,0.293,0.102,0.327,0.388,0.184,0,0.8,0,0,0.2,0.068,0.067,0.034,0.237,0.645,0.526,0.329,0.408,0.153,0.267,0.204,0.235,0.192,0.263,0.79,0.689,0.615,0.722,0.834,0.492,0.895,0.4,0.312,0.529,0.832,0.664,0.02,-4.044463675,0.6524184095,-0.703063919,1.0461162476,0.7297389543,1.3395575664,-1.287245371,-0.644400147,-0.3719185,-0.416572112
637,637,2012,England,Site,451.5,56,0.124,0.857,0.729,0.089,0.661,0.25,0.018,0.4,0.327,0.255,0,0.019,0.6,0.011,0,0.067,0.058,0.046,0.482,0.216,0.108,0.108,0.135,0.185,0.5,0.712,0.712,0.146,0.2,0.933,0.665,0.659,0.814,0.829,0.434,0.698,0.335,0.188,0.483,0.73,0.602,0,1.941659478,-1.47467823,1.5965521752,-0.42773387,1.2507216016,-1.090072046,-1.191285941,0.9320102241,-1.81673721,0.0511565822
638,638,2012,England,Hospital,611,74,0.121,0.865,0.918,0.027,0.699,0.274,0.041,0.315,0.452,0.192,0,0.012,0.4,0.1,0.2,0.069,0.064,0.042,0.247,0.519,0.389,0.296,0.333,0.058,0.333,0.185,0.231,0.062,0.246,0.969,0.686,0.597,0.544,0.882,0.372,0.87,0.155,0.066,0.553,0.644,0.462,0.014,-2.906812043,-1.180657468,-0.185013876,0.2818884239,-0.523361495,0.2462446707,-1.763463379,1.6622608756,-0.04553833,-0.332888195
