Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
254,254,2010,England,Hospital,464,70,0.151,0.943,0.97,0.059,0.765,0.176,0.03,0.269,0.567,0.134,0,0.49,0.14,0.05,0.24,0.0643,0.0537,0.0485,0.254,0.232,0.159,0.087,0.116,0.045,0.667,0.149,0.357,0.086,0.257,0.841,0.75,0.579,0.583,0.75,0.35,0.86,0.195,0.146,0.69,0.837,0.69,0,1.6566069577,-1.018046054,-1.213873454,-1.694348785,0.2674718409,-0.000412505,0.1454359649,0.0356711079,-0.095119766,0.0291083141
255,255,2010,England,Hospital,157,19,0.121,1,0.895,0.053,0.632,0.316,0.053,0.421,0.316,0.211,0,0.0105,0.18,0.53,0.11,0.0679,0.0679,0.0589,0.556,0.222,0.222,0,0.167,0.111,0.5,0.278,0.769,0.053,0.158,0.833,0.857,0.75,0.2,0.429,0.429,0.75,0.143,0,0.375,0.875,0.5,0,2.2477805772,-1.931564321,1.1349649132,-0.994499151,0.0013784353,-0.300554601,-2.536472547,-0.189617785,0.3860990887,-2.182876673
256,256,2010,England,Hospital,872,88,0.101,0.955,0.85,0.036,0.655,0.31,0.071,0.369,0.417,0.143,0,0.41,0.09,0.15,0.05,0.0674,0.0646,0.0445,0.397,0.226,0.155,0.095,0.131,0.094,0.25,0.183,0.156,0.114,0.136,0.886,0.85,0.795,0.75,0.605,0.628,0.864,0.205,0.103,0.705,0.864,0.714,0.012,1.7814254203,1.2877707006,-0.523702073,-0.536021704,-0.449733068,0.9636385723,0.0549662507,0.6591332563,-0.173391826,-0.95506346
257,257,2010,England,Hospital,376,51,0.136,0.979,0.96,0.102,0.531,0.367,0.122,0.286,0.388,0.204,0,0.75,0.39,0.53,0.12,0.0639,0.0556,0.0311,0.3,0.438,0.333,0.25,0.229,0.1,0.8,0.204,0.04,0.118,0.196,0.917,0.7,0.818,0.778,0.364,0.545,0.727,0.25,0.417,0.636,0.917,0.9,0,-0.567265018,1.1480503992,-1.83535904,1.0189347805,0.314928497,-1.201928198,0.9407552309,-0.678116263,0.2085317466,1.2478634091
258,258,2010,England,Hospital,219,39,0.178,1,0.868,0,0.703,0.297,0.051,0.41,0.333,0.205,0,0.77,0.36,0.16,0.69,0.0632,0.0598,0.0407,0.286,0.118,0.059,0.118,0.059,0.057,0.5,0.158,0.067,0.103,0.231,1,0.778,0.889,0.4,0.714,0.625,1,0.222,0.556,0.667,0.889,0.556,0,2.8169951892,0.3678719317,-1.331346191,-1.445831486,-1.114617262,-1.493265517,-0.266981886,-0.075920772,0.373762962,0.1340700284
259,259,2010,England,Hospital,509,68,0.134,0.538,0.891,0.091,0.788,0.121,0.029,0.5,0.382,0.088,0,0.15,0.06,0.03,0.06,0.0681,0.0672,0.0432,0.19,0.448,0.313,0.239,0.299,0.075,1,0.515,0.118,0.118,0.206,0.7,0.375,0.438,0.308,0.706,0.368,0.842,0.35,0.3,0.75,0.913,0.429,0,-2.032634352,-1.976803364,0.4019891977,-1.925428874,1.1956639407,2.1331522597,-0.343091745,-0.985709918,1.3123909305,0.4692686425
260,260,2010,England,Hospital,135,28,0.207,0.321,0.929,0.107,0.857,0.036,0,0.25,0.679,0.071,0,0.0371,0.07,0.7,0.61,0.0675,0.065,0.0488,0.593,0.179,0,0.179,0.107,0.136,0.667,0.96,0.619,0.071,0.071,0.818,0.455,0.2,0.75,0.7,0.5,0.818,0,0.2,0.5,1,0.818,0,2.7188440856,-2.573395545,4.2348789904,0.1183223623,1.2729792299,-1.107134486,1.1077915706,-1.978292761,-0.331684013,-0.705564216
261,261,2010,England,Hospital,440,72,0.164,0.952,0.757,0.101,0.594,0.304,0.057,0.414,0.386,0.143,0,0.1,0.11,0.06,0.4,0.0646,0.0567,0.0348,0.373,0.439,0.318,0.212,0.303,0.113,0.5,0.278,0.5,0.097,0.278,0.794,0.656,0.636,0.522,0.625,0.424,0.758,0.281,0.281,0.571,0.971,0.559,0.1,-1.392018326,-0.796137563,-0.563652799,-0.312200257,1.6334148092,-0.517443613,0.4330523098,-0.818467719,0.1554943074,-1.550337387
262,262,2010,England,Hospital,614,51,0.083,0.958,0.833,0.098,0.627,0.275,0.041,0.429,0.367,0.163,0,0.0137,0.18,0.8,0.25,0.0675,0.0656,0.0375,0.313,0.4,0.356,0.111,0.178,0.093,0,0.364,0.522,0.157,0.157,0.824,0.647,0.688,0.538,0.643,0.188,0.706,0.267,0.067,0.813,0.824,0.529,0.024,-0.395092941,-2.106844373,0.0330932363,0.1362292097,0.221108866,0.9920165489,-0.343779997,-0.400295398,0.1678805604,-0.991341876
263,263,2010,England,Hospital,356,47,0.132,0.844,0.867,0.064,0.809,0.128,0.022,0.133,0.667,0.178,0,0.43,0.17,0.11,0.81,0.0657,0.0624,0.0432,0.222,0.195,0.098,0.171,0.073,0.044,0,0.087,0.056,0.128,0.17,0.917,0.75,0.75,0.5,0.75,0.333,0.75,0.385,0.231,0.636,0.692,0.692,0,1.3820364862,-0.956524567,-0.736952,-1.232128833,-2.04881437,-0.883513912,-0.645021008,0.546119463,0.3113549206,-0.865342815
264,264,2010,England,Hospital,309,72,0.233,0.556,0.875,0.214,0.543,0.243,0.042,0.403,0.403,0.153,0,0.36,0.22,0.13,0.03,0.0666,0.0551,0.0279,0.323,0.594,0.478,0.362,0.348,0.078,0.6,0.212,0.19,0.181,0.236,0.786,0.615,0.692,0.7,0.6,0.357,0.714,0.429,0.286,0.538,0.929,0.857,0.069,-3.235890051,0.1426343749,-1.626781436,1.1428786877,1.1394349244,-0.263638855,0.4607028666,-1.390245488,0.0058724465,-0.143951953
265,265,2010,England,Hospital,398,67,0.168,0.877,0.909,0.152,0.636,0.212,0.06,0.328,0.299,0.313,0,0.0111,0.33,0.31,0.12,0.0689,0.0682,0.0438,0.297,0.469,0.281,0.313,0.313,0.136,0.375,0.288,0.472,0.09,0.224,0.727,0.8,0.476,0.5,0.7,0.227,0.739,0.238,0.19,0.6,0.957,0.652,0.136,-1.605548274,-1.651268752,0.4227549574,0.5949619854,0.5206312484,1.5847309662,0.2236194236,-0.758169262,0.1834770325,-0.945115337
266,266,2010,England,Hospital,224,32,0.143,0.903,0.969,0.033,0.9,0.067,0,0.29,0.516,0.194,0,0.94,0.03,0.06,0.06,0.0662,0.0655,0.0573,0.207,0.29,0.29,0.032,0.161,0.097,0,0.25,0,0.125,0.219,0.75,0.571,0.429,0.5,0.625,0.25,0.375,0.111,0.444,0.778,1,0.5,0,0.3792991775,-1.049946237,-0.573510891,-2.577517342,-1.052867052,2.5169001545,-0.369485462,-2.826245814,-0.648888423,-0.698903329
267,267,2010,England,Hospital,370,50,0.135,0.98,0.938,0.12,0.64,0.24,0.06,0.44,0.38,0.12,0,0.75,0.08,0.16,0.02,0.0695,0.0684,0.0431,0.34,0.553,0.426,0.213,0.319,0.1,0,0.06,0.164,0.08,0.2,0.864,0.684,0.682,0.529,0.833,0.444,0.826,0.3,0.2,0.714,1,0.636,0.02,-1.841167069,0.8158863858,-1.05372982,0.6020521696,-0.496501492,2.2240840512,-0.984505779,-2.144181515,-0.195279364,-1.016636061
268,268,2010,England,Hospital,326,59,0.181,1,0.966,0.086,0.586,0.328,0.052,0.293,0.534,0.121,0,0.64,0.41,0.11,0.09,0.0665,0.0663,0.0414,0.382,0.158,0.123,0.053,0.088,0.089,0.6,0.576,0.575,0.136,0.186,0.931,0.885,0.862,0.632,0.63,0.567,0.903,0.308,0.154,0.741,0.966,0.862,0.018,3.8362386208,1.1583993075,-0.008842569,0.2902674503,1.2067922392,0.266188803,-0.557954376,-0.705628261,-0.657464111,0.4604980359
269,269,2010,England,Hospital,268,51,0.19,0.98,0.745,0.24,0.62,0.14,0.08,0.42,0.38,0.12,0,0.59,0.04,0.04,0.06,0.0678,0.0675,0.0405,0.378,0.347,0.204,0.265,0.204,0.286,0.714,0.235,0.357,0.137,0.275,0.8,0.647,0.714,0.545,0.684,0.381,0.857,0.4,0.6,0.571,0.9,0.571,0.143,-0.373006054,0.0979733461,0.3894815034,-1.231857028,0.7309348791,0.9695716039,-0.500845288,-0.599558994,0.7578478111,-0.60436775
270,270,2010,England,Hospital,205,32,0.156,1,1,0.188,0.781,0.031,0.125,0.5,0.313,0.063,0,0.0138,0.16,0.06,0.13,0.0373,0.0436,0.0285,0.593,0.4,0.267,0.167,0.3,0.129,1,0.194,0.519,0.094,0.25,0.905,0.842,0.714,0.8,0.7,0.571,0.952,0.524,0.333,0.7,0.905,0.81,0,0.3459096493,0.2855841409,-4.108508953,-0.103276696,3.6420816805,-5.478973938,1.8988696046,-0.792984454,-0.46352501,-0.480418641
271,271,2010,England,Hospital,330,42,0.127,0.951,0.857,0.075,0.675,0.25,0.167,0.333,0.357,0.143,0,0.36,0.31,0.18,0.29,0.0658,0.0674,0.0322,0.231,0.385,0.231,0.154,0.256,0.073,0.667,0.244,0.194,0.167,0.333,1,1,0.8,0.556,0.615,0.571,1,0.375,0.438,0.4,1,0.615,0,0.3600262998,1.2410284232,-0.980493805,0.617748872,-0.409514238,-0.893321999,-0.869834173,0.3133999529,-0.130432939,-0.221716633
272,272,2010,England,Site,370,36,0.097,0.914,0.909,0.114,0.686,0.2,0.111,0.222,0.611,0.056,0,0.013,0.06,0.1,0.11,0.0633,0.06,0.0386,0.273,0.385,0.346,0.192,0.269,0.083,0.333,0.088,0.125,0.056,0.167,0.857,0.571,0.625,0.2,0.714,0.286,0.571,0.143,0.143,1,0.75,0.5,0.029,-1.478186823,-1.140595816,-2.060719578,-1.776166995,0.1503142448,0.7429696298,-0.586791885,-0.636151618,1.647993811,-0.599521413
273,273,2010,England,Site,743,145,0.195,0.669,0.836,0.09,0.534,0.376,0.088,0.331,0.397,0.184,0,0.61,0.19,0,0.03,0.061,0.0548,0.0337,0.371,0.409,0.299,0.234,0.321,0.107,0.583,0.147,0.392,0.11,0.283,0.923,0.648,0.654,0.528,0.558,0.439,0.786,0.333,0.255,0.694,0.893,0.649,0.116,-1.529179657,0.9211163797,-1.698317285,-1.081388418,2.1628112057,-0.128542666,0.7731506537,-0.027557458,-0.313388004,-0.394939817
