,bed,no_of_audits,prevalence_diabetes,percentage_white,percentage_emergency,percentage_mangement,percentage_other_medical,percentage_non_medical,dt1,dt2_insulin,dt2_non_insulin,dt2_diet_only,dt_other,nursing_hours,consultant_hours,dietician_hours,podiatrist_hours,blood_glucose_monitoring_days,appropriate_days,good_diabetes_days,visit_by_specialist_diabetes_team,medication_errors,prescription_errors,management_errors,insulin_errors,admitted_with_foot disease,seen_by_mdft_within_24_hours,foot_risk_assessment_within_24_hours,foot_risk_assessment_within_stay,severe_hypo,minor_hypo,meals_suitable,meals_timing,meals_choice,staff_knowledge_q&a,staff_knowledge_eq,staff_knowledge_collective,overall_satisfaction,patient_reported _unexpected_high,patient_reported_unexpected_low,able_to_take_control_of_care,staff_aware_diabetes,some_or_most_staff_aware_diabetes,renal_replacement
73,210.0,51.0,0.24,0.41,0.84,0.08,0.8,0.12,0.0,0.53,0.33,0.14,0.0,1.31,0.2,0.18,0.05771394527222249,6.74,6.2,3.46,0.878,0.24,0.16,0.1,0.14,0.064,1.0,0.375,0.8029999999999999,0.098,0.196,0.8,0.762,0.8,0.75,0.769,0.316,0.895,0.526,0.316,0.737,1.0,0.8,0.02
74,640.0,119.0,0.19,0.42,0.73,0.12,0.64,0.24,0.02,0.43,0.4,0.13,0.03,0.41,0.35,0.3558815368193116,0.03,6.68,6.26,3.14,0.298,0.509,0.34299999999999997,0.39799999999999996,0.361,0.121,0.9229999999999999,0.14400000000000002,0.03,0.067,0.252,0.71,0.5670000000000001,0.483,0.37,0.905,0.433,1.0,0.419,0.226,0.733,0.903,0.742,0.14
75,450.0,54.0,0.12,0.94,0.87,0.06,0.66,0.28,0.06,0.48,0.39,0.08,0.0,0.3,0.15,0.06,0.07,6.42,6.24,4.0,0.213,0.381,0.262,0.214,0.23800000000000002,0.071,0.5,0.225,0.185,0.13,0.259,0.973,0.8109999999999999,0.861,0.529,0.833,0.605,0.825,0.25,0.275,0.6,0.8290000000000001,0.541,0.022000000000000002
76,507.0,95.0,0.19,0.89,0.94,0.07,0.65,0.27,0.06,0.31,0.35,0.27,0.01,0.75,0.07,0.40291448382778433,0.17,6.73,6.34,4.75,0.341,0.27,0.225,0.079,0.191,0.085,0.28600000000000003,0.068,0.187,0.084,0.284,0.853,0.765,0.735,0.391,0.8640000000000001,0.368,0.757,0.33299999999999996,0.361,0.743,0.865,0.649,0.043
77,333.0,50.0,0.15,0.96,0.84,0.08,0.5,0.42,0.06,0.27,0.31,0.37,0.0,0.74,0.12,0.04,0.08,6.75,6.63,5.19,0.92,0.163,0.14300000000000002,0.040999999999999995,0.102,0.149,1.0,0.833,0.38299999999999995,0.02,0.14,0.9670000000000001,0.7859999999999999,0.7859999999999999,0.778,0.905,0.419,0.903,0.214,0.14300000000000002,0.621,0.903,0.7,0.0
78,426.0,53.0,0.12,0.96,0.92,0.14,0.51,0.35,0.04,0.37,0.31,0.29,0.0,0.47,0.26,0.15,1.2070886865815347,6.12,4.55,2.15,0.26899999999999996,0.435,0.435,0.261,0.239,0.078,0.33299999999999996,0.08,0.139,0.20800000000000002,0.377,0.893,0.84,0.615,0.462,0.857,0.28600000000000003,0.69,0.185,0.40700000000000003,0.545,0.69,0.607,0.06
79,466.0,69.0,0.15,0.94,0.92,0.1,0.67,0.22,0.1,0.25,0.42,0.22,0.0,1.07,0.06,0.01,0.13317042735610793,7.0,6.91,4.55,0.20600000000000002,0.284,0.19399999999999998,0.134,0.134,0.14300000000000002,0.5710000000000001,0.397,0.35200000000000004,0.11599999999999999,0.23199999999999998,0.667,0.7240000000000001,0.586,0.313,0.7390000000000001,0.387,0.742,0.233,0.33299999999999996,0.5710000000000001,0.9,0.484,0.0
80,466.0,39.0,0.08,0.97,0.85,0.05,0.69,0.26,0.03,0.37,0.34,0.26,0.0,1.49,0.56,0.17314551037590337,0.05,6.76,6.66,4.36,0.5379999999999999,0.16699999999999998,0.16699999999999998,0.0,0.139,0.059000000000000004,0.0,0.059000000000000004,0.175,0.077,0.231,0.846,0.769,0.643,0.556,0.75,0.214,0.7859999999999999,0.385,0.308,0.833,0.9229999999999999,0.5,0.026000000000000002
81,266.0,35.0,0.13,0.67,0.77,0.2,0.54,0.26,0.03,0.29,0.56,0.12,0.0,1.37,0.51,0.03583530338874732,0.06,6.68,6.69,4.67,0.371,0.39399999999999996,0.273,0.273,0.121,0.152,0.25,0.08800000000000001,0.37,0.171,0.371,0.75,0.875,0.7,0.625,0.545,0.308,0.769,0.41700000000000004,0.25,0.75,0.769,0.5379999999999999,0.0
82,299.0,56.0,0.19,0.51,0.82,0.07,0.8,0.13,0.02,0.38,0.4,0.2,0.0,1.82,0.43,0.14,0.07,6.74,6.45,3.47,0.13,0.5,0.28,0.36,0.24,0.10300000000000001,0.667,0.091,0.11599999999999999,0.179,0.33899999999999997,0.8,0.541,0.6920000000000001,0.5,0.68,0.33299999999999996,0.821,0.263,0.368,0.5,0.8540000000000001,0.525,0.0
