,audit_year,Country,Hospital/Site,Hospital Beds (HC),Diabetic Patients (BA),Prevalence of diabetes,Percentage White,Percentage emergency,Percentage Mangement of diabetes,Percentage other medical,Percentage Non Medical,Percentage Diabetes Type 1,Percentage Diabetes Type 2 - Insulin,Percentage Diabetes Type 2 - Non insulin,Percentage Diabetes Type 2 - Diet only,Percentage Diabetes Type Other,Nursing hours,Consultant hours,Dietician hours,Podiatrist hours, Blood Glucose monitoring Days , Appropriate Days , Good Diabetes Days ,Visit by specialist diabetes team,Medication errors,prescription errors,management errors,Insulin Errors,Admitted with foot disease,Seen by the MDT within 24 hours,Foot Risk Assessment completed within 24 hours,Foot Risk Assessment completed during the hospital stay,% Severe Hypo,% Minor Hypo,Meals Suitable,Meals Timing,Meals Choice,Staff Knowledge - Answer Qs,Staff Knowledge - Emotional support,Staff Knowledge - Work together,Overall Satisfaction,Patient reported unexpected high,Patient reported unexpected low,Able to take control of diabetes care,Staff aware of diabetes,some all or most staff know enough about diabetes,Percentage renal replacement therapy
609,2012,England,Hospital,321.0,34,0.106,1.0,1.0,0.147,0.706,0.147,0.182,0.455,0.242,0.121,0.0,2.6,0.5,4.0,2.2,6.7,6.5,4.4,0.265,0.292,0.20800000000000002,0.125,0.125,0.11800000000000001,0.75,0.094,0.094,0.036000000000000004,0.19399999999999998,0.8909999999999999,0.892,0.9179999999999999,0.826,1.0,0.258,0.9179999999999999,0.069,0.20199999999999999,0.772,0.6809999999999999,0.735,0.059000000000000004
610,2012,England,Hospital,177.0,31,0.175,1.0,0.9329999999999999,0.033,0.733,0.233,0.0,0.552,0.24100000000000002,0.207,0.0,2.4,0.9,1.7,0.0,7.0,6.8,4.9,0.267,0.55,0.5,0.1,0.25,0.067,0.0,0.0,0.033,0.04,0.33299999999999996,0.961,0.85,0.8859999999999999,1.0,1.0,0.414,1.0,0.14800000000000002,0.29600000000000004,0.818,0.9079999999999999,0.547,0.0
611,2012,England,Hospital,486.0,73,0.15,0.8490000000000001,0.855,0.057,0.6859999999999999,0.257,0.055999999999999994,0.375,0.361,0.19399999999999998,0.013999999999999999,0.2,0.7,0.1,0.1,6.8,6.1,4.3,0.265,0.56,0.32,0.28,0.28,0.013999999999999999,0.0,0.028999999999999998,0.057,0.052000000000000005,0.174,0.9420000000000001,0.737,0.604,0.898,0.862,0.436,0.897,0.23800000000000002,0.214,0.539,0.88,0.684,0.013999999999999999
612,2012,England,Hospital,479.0,101,0.21100000000000002,0.861,0.885,0.05,0.67,0.28,0.03,0.287,0.495,0.188,0.0,1.0,0.4,0.0,0.3,6.9,6.7,4.6,0.38799999999999996,0.377,0.20800000000000002,0.221,0.23399999999999999,0.131,0.385,0.326,0.34700000000000003,0.071,0.172,0.97,0.715,0.785,0.8290000000000001,0.8859999999999999,0.507,0.905,0.18899999999999997,0.215,0.6609999999999999,0.877,0.764,0.01
613,2012,England,Hospital,370.0,52,0.141,0.9420000000000001,0.813,0.038,0.635,0.327,0.038,0.28800000000000003,0.423,0.25,0.0,2.1,0.7,0.8,0.4,4.0,7.0,7.0,0.9620000000000001,0.263,0.158,0.132,0.184,0.096,0.6,0.9420000000000001,0.9420000000000001,0.040999999999999995,0.265,0.955,0.768,0.6970000000000001,0.919,0.7759999999999999,0.32899999999999996,0.9259999999999999,0.187,0.28800000000000003,0.486,0.89,0.768,0.0
614,2012,England,Hospital,142.0,25,0.17600000000000002,1.0,0.92,0.125,0.583,0.292,0.12,0.36,0.4,0.12,0.0,5.3,2.6,1.1,0.5,6.9,6.6,4.8,0.48,0.478,0.348,0.217,0.348,0.16,0.5,0.64,0.64,0.16,0.16,0.9229999999999999,0.899,0.6890000000000001,1.0,1.0,0.843,0.9640000000000001,0.38799999999999996,0.09,0.5489999999999999,0.8809999999999999,0.797,0.0
615,2012,England,Hospital,426.0,69,0.162,0.9279999999999999,0.938,0.028999999999999998,0.647,0.324,0.091,0.303,0.379,0.22699999999999998,0.0,2.0,2.2,0.5,0.1,6.7,6.0,3.7,0.203,0.36200000000000004,0.17,0.27699999999999997,0.17,0.015,0.0,0.075,0.094,0.195,0.237,0.789,0.5379999999999999,0.6,0.8390000000000001,0.792,0.4,0.863,0.34299999999999997,0.26899999999999996,0.452,0.687,0.677,0.028999999999999998
616,2012,England,Hospital,432.0,74,0.171,0.919,0.9079999999999999,0.153,0.639,0.20800000000000002,0.054000000000000006,0.297,0.35100000000000003,0.297,0.0,1.0,0.3,0.0,0.1,6.9,6.9,5.6,0.16399999999999998,0.23399999999999999,0.064,0.191,0.17,0.054000000000000006,0.0,0.068,0.068,0.069,0.11,0.8740000000000001,0.706,0.619,1.0,1.0,0.647,0.941,0.258,0.305,0.593,1.0,0.8740000000000001,0.0
617,2012,England,Site,628.0,104,0.166,0.846,0.7979999999999999,0.121,0.636,0.242,0.062,0.474,0.289,0.124,0.052000000000000005,3.1,0.8,0.5,0.3,6.7,6.0,3.5,0.313,0.506,0.392,0.215,0.29100000000000004,0.13,0.364,0.16699999999999998,0.198,0.16,0.195,0.8109999999999999,0.733,0.611,0.898,0.8690000000000001,0.537,0.892,0.24,0.259,0.561,0.773,0.7090000000000001,0.078
618,2012,England,Hospital,431.0,51,0.11800000000000001,0.902,0.8370000000000001,0.06,0.68,0.26,0.125,0.292,0.43799999999999994,0.125,0.021,1.5,0.7,0.7,0.5,6.9,6.9,4.2,0.44,0.474,0.447,0.105,0.316,0.106,0.4,0.426,0.447,0.23800000000000002,0.159,0.961,0.653,0.7140000000000001,1.0,1.0,0.469,0.853,0.122,0.271,0.6509999999999999,0.968,0.775,0.059000000000000004
619,2012,England,Hospital,182.0,35,0.192,0.8859999999999999,0.9390000000000001,0.0,0.706,0.294,0.028999999999999998,0.324,0.529,0.11800000000000001,0.0,2.2,1.6,0.5,0.5,6.8,6.8,4.7,0.353,0.36700000000000005,0.233,0.2,0.2,0.11800000000000001,0.0,0.059000000000000004,0.11800000000000001,0.0,0.11800000000000001,0.747,0.782,0.604,0.732,0.795,0.479,0.807,0.20600000000000002,0.251,0.34,0.777,0.7040000000000001,0.0
620,2012,England,Hospital,281.0,57,0.203,0.193,0.685,0.109,0.764,0.127,0.019,0.604,0.28300000000000003,0.057,0.038,2.0,0.4,0.2,0.7,6.5,6.1,2.9,0.25,0.326,0.13,0.239,0.196,0.075,1.0,0.17300000000000001,0.25,0.08900000000000001,0.192,0.742,0.5710000000000001,0.462,0.738,0.38799999999999996,0.213,0.622,0.429,0.27399999999999997,0.376,0.767,0.561,0.0
621,2012,England,Site,816.0,150,0.184,0.627,0.856,0.059000000000000004,0.757,0.184,0.03,0.4,0.42200000000000004,0.11900000000000001,0.03,1.8,0.8,0.5,0.3,6.8,6.2,3.4,0.275,0.49200000000000005,0.27399999999999997,0.32299999999999995,0.21,0.040999999999999995,0.33299999999999996,0.847,0.8540000000000001,0.08900000000000001,0.231,0.7909999999999999,0.655,0.5770000000000001,0.6679999999999999,0.7809999999999999,0.49700000000000005,0.715,0.223,0.127,0.627,0.725,0.684,0.07400000000000001
622,2012,England,Hospital,500.0,74,0.14800000000000002,0.865,0.7609999999999999,0.096,0.7809999999999999,0.12300000000000001,0.08199999999999999,0.28800000000000003,0.521,0.096,0.013999999999999999,1.1,0.3,0.0,0.0,6.9,6.6,5.0,0.35600000000000004,0.33899999999999997,0.214,0.179,0.196,0.096,0.429,0.722,0.833,0.154,0.24600000000000002,0.821,0.7290000000000001,0.647,0.716,0.825,0.529,0.853,0.242,0.425,0.48700000000000004,0.866,0.598,0.0
623,2012,England,Hospital,426.0,52,0.122,0.981,0.9229999999999999,0.038,0.654,0.308,0.057999999999999996,0.17300000000000001,0.442,0.28800000000000003,0.038,2.2,0.5,0.2,1.7,6.4,6.3,4.4,0.098,0.364,0.242,0.212,0.212,0.057999999999999996,0.667,0.27699999999999997,0.298,0.057,0.152,0.9590000000000001,0.8029999999999999,0.76,0.78,0.8859999999999999,0.39799999999999996,0.88,0.184,0.131,0.542,0.736,0.695,0.019
624,2012,England,Site,365.0,53,0.145,0.943,0.904,0.038,0.769,0.192,0.039,0.41200000000000003,0.275,0.275,0.0,3.3,0.7,0.2,0.2,6.8,6.2,5.5,0.245,0.10300000000000001,0.069,0.034,0.069,0.094,0.8,0.135,0.17300000000000001,0.10400000000000001,0.125,1.0,0.853,0.682,1.0,1.0,0.623,1.0,0.048,0.195,0.594,1.0,0.843,0.0
625,2012,England,Hospital,997.0,154,0.154,0.662,0.8009999999999999,0.085,0.536,0.379,0.06,0.46299999999999997,0.295,0.134,0.047,2.3,0.5,0.5,0.1,6.7,6.7,4.1,0.371,0.306,0.14,0.223,0.231,0.065,0.556,0.26,0.293,0.095,0.182,0.772,0.691,0.573,0.748,0.746,0.359,0.815,0.285,0.248,0.569,0.815,0.67,0.124
626,2012,England,Hospital,755.0,70,0.09300000000000001,0.557,0.629,0.0,0.5710000000000001,0.429,0.06,0.32799999999999996,0.507,0.06,0.045,1.3,1.2,0.4,0.1,6.8,6.3,4.2,0.313,0.517,0.259,0.31,0.155,0.10099999999999999,0.667,0.14800000000000002,0.19699999999999998,0.078,0.154,0.642,0.544,0.365,0.6,0.705,0.183,0.665,0.311,0.16699999999999998,0.444,0.767,0.473,0.0
627,2012,England,Site,1327.0,161,0.121,0.925,0.6559999999999999,0.069,0.619,0.313,0.05,0.275,0.4,0.225,0.05,0.2,0.3,0.0,1.9,6.7,6.5,4.6,0.24,0.319,0.235,0.151,0.185,0.115,0.529,0.445,0.7809999999999999,0.068,0.192,0.899,0.813,0.7709999999999999,0.82,0.917,0.521,0.907,0.21600000000000003,0.128,0.6859999999999999,0.8,0.6659999999999999,0.037000000000000005
628,2012,England,Hospital,324.0,40,0.12300000000000001,0.875,0.711,0.025,0.625,0.35,0.051,0.308,0.33299999999999996,0.256,0.051,2.4,0.6,1.3,0.2,6.2,5.8,3.4,0.125,0.72,0.36,0.52,0.44,0.054000000000000006,1.0,0.054000000000000006,0.054000000000000006,0.138,0.19399999999999998,0.8590000000000001,0.7440000000000001,0.636,0.622,0.785,0.48,0.885,0.035,0.028999999999999998,0.728,0.77,0.716,0.0
629,2012,England,Hospital,438.0,56,0.128,0.9109999999999999,0.9,0.109,0.6729999999999999,0.218,0.055,0.382,0.309,0.255,0.0,2.3,1.4,0.9,0.0,6.5,6.4,3.7,0.109,0.447,0.289,0.289,0.237,0.07400000000000001,0.25,0.17,0.18899999999999997,0.061,0.115,0.941,0.898,0.768,0.695,0.669,0.33399999999999996,0.8740000000000001,0.287,0.107,0.517,0.887,0.619,0.073
630,2012,England,Hospital,64.0,11,0.172,1.0,0.75,0.0,0.818,0.182,0.1,0.2,0.4,0.3,0.0,3.4,0.8,0.8,1.3,7.0,7.0,5.9,0.2,0.0,0.0,0.0,0.0,0.091,0.0,0.273,0.364,0.0,0.182,0.779,0.41700000000000004,0.7090000000000001,1.0,1.0,0.627,1.0,0.083,0.513,0.365,1.0,0.779,0.0
631,2012,England,Hospital,252.0,45,0.179,1.0,0.795,0.067,0.622,0.311,0.068,0.318,0.409,0.205,0.0,2.8,0.3,0.6,0.5,7.0,6.7,3.6,0.267,0.531,0.094,0.5,0.25,0.09300000000000001,0.75,0.875,0.9,0.12,0.273,0.9229999999999999,0.701,0.535,0.701,0.735,0.309,0.708,0.267,0.217,0.344,0.754,0.732,0.022000000000000002
632,2012,England,Hospital,349.0,39,0.11199999999999999,0.9490000000000001,0.946,0.0,0.865,0.135,0.0,0.282,0.48700000000000004,0.231,0.0,2.7,0.6,0.8,2.2,6.5,6.2,4.7,0.237,0.259,0.111,0.185,0.111,0.026000000000000002,0.0,0.0,0.08800000000000001,0.09699999999999999,0.11800000000000001,0.8540000000000001,0.6579999999999999,0.67,0.877,0.7040000000000001,0.29,0.953,0.12300000000000001,0.152,0.47100000000000003,0.748,0.649,0.0
